pool,game_file,source_file,source_page,original_url,license,license_url,author,date,description,origin,original_size
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_011_1920x1080.png,Army CHIEF of STAFF General (GEN) Carl E. Vuono speaks with a staff sergeant from the 25th Infantry Division (Light) during a visit to the training area - DPLA - 96113e797633620020a81a06e5c108fd.jpeg,https://commons.wikimedia.org/wiki/File:Army_CHIEF_of_STAFF_General_(GEN)_Carl_E._Vuono_speaks_with_a_staff_sergeant_from_the_25th_Infantry_Division_(Light)_during_a_visit_to_the_training_area_-_DPLA_-_96113e797633620020a81a06e5c108fd.jpeg,https://upload.wikimedia.org/wikipedia/commons/7/76/Army_CHIEF_of_STAFF_General_%28GEN%29_Carl_E._Vuono_speaks_with_a_staff_sergeant_from_the_25th_Infantry_Division_%28Light%29_during_a_visit_to_the_training_area_-_DPLA_-_96113e797633620020a81a06e5c108fd.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"23 April 1989 date QS:P571,+1989-04-23T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: GOLDEN PHEASANT Base: Pohakuloa Training Area State: Hawaii (HI) Country: United States Of America (USA) Scene Camera Operator: Nathaniel H. Mcbride Release Status: Released to Public,Category:Operation Golden Pheasant,3000x2007
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_012_1920x1080.png,UH1H - Honduras - 1988.jpg,https://commons.wikimedia.org/wiki/File:UH1H_-_Honduras_-_1988.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/UH1H_-_Honduras_-_1988.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Tgarland123,1988-06-06,"UH-1H crew, Honduras, 1988. Left to Right: Garland, Nestor, Brown, Ferguson, Showers, Disney",Category:Operation Golden Pheasant,2945x2036
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_015_1920x1080.png,CH-46 HMM-261 on Grenada 1983.JPEG,https://commons.wikimedia.org/wiki/File:CH-46_HMM-261_on_Grenada_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/1/17/CH-46_HMM-261_on_Grenada_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,TSgt. Mike Creen,1983-11-03,"A U.S. Marine Corps Boeing CH-46E Sea Knight helicopter (BuNo 157654) from Marine Medium Helicopter Squadron (HMM) 261 Raging Bulls awaits Rangers from 2nd Battalion to load prior to rescue of students from Grand Anse Beach Campus during ""Operation Urgent Fury"", the invasion of Grenada, on 3 November 1983.",Category:United States Marine Corps in Grenada,3000x1979
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_016_1920x1080.png,Combatiente con RPG.jpg,https://commons.wikimedia.org/wiki/File:Combatiente_con_RPG.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Combatiente_con_RPG.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Dora María Téllez,Taken in June 1979,"Utilizando los ""bastones chinos"". Insurrección de León 1979 Imágenes de las acciones militares durante la insurrección de León y de la destrucción causada por los bombardeos de la Fuerza Aérea Nicaragüense (FAN) de la GN. durante los meses de junio y julio de 1979",Category:Nicaraguan Revolution,2085x1256
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_017_1920x1080.png,A medic applies a band-aid to the leg of a Grenadian child during Operation URGENT FURY - DPLA - 98b7e432ca8d0a89dd297983d2bdade0.jpeg,https://commons.wikimedia.org/wiki/File:A_medic_applies_a_band-aid_to_the_leg_of_a_Grenadian_child_during_Operation_URGENT_FURY_-_DPLA_-_98b7e432ca8d0a89dd297983d2bdade0.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/29/A_medic_applies_a_band-aid_to_the_leg_of_a_Grenadian_child_during_Operation_URGENT_FURY_-_DPLA_-_98b7e432ca8d0a89dd297983d2bdade0.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"3 November 1983 date QS:P571,+1983-11-03T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: URGENT FURY Country: Grenada (GRD) Scene Camera Operator: TSGT Mike Creen Release Status: Released to Public,Category:Operation Urgent Fury,2990x1990
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_018_1920x1080.png,"Chairman of the Joint Chiefs of Staff, General John W. Vessey Jr., on the island to observe Operation URGENT FURY.jpg","https://commons.wikimedia.org/wiki/File:Chairman_of_the_Joint_Chiefs_of_Staff,_General_John_W._Vessey_Jr.,_on_the_island_to_observe_Operation_URGENT_FURY.jpg",https://upload.wikimedia.org/wikipedia/commons/c/ce/Chairman_of_the_Joint_Chiefs_of_Staff%2C_General_John_W._Vessey_Jr.%2C_on_the_island_to_observe_Operation_URGENT_FURY.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"TSGT M. J. Creen, US Air Force",1983-11-04,"Chairman of the Joint Chiefs of Staff, General John W. Vessey Jr., on the island to observe Operation URGENT FURY.",Category:Operation Urgent Fury,3030x1982
TM,Data-Vengeance/Loadscreens/RealConflict/TM/TM_005_1920x1080.png,Marines patrol the town of Saint Georges with the use of tracked personnel landing vehicles (LVTP7) during Operation URGENT FURY.jpg,https://commons.wikimedia.org/wiki/File:Marines_patrol_the_town_of_Saint_Georges_with_the_use_of_tracked_personnel_landing_vehicles_(LVTP7)_during_Operation_URGENT_FURY.jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Marines_patrol_the_town_of_Saint_Georges_with_the_use_of_tracked_personnel_landing_vehicles_%28LVTP7%29_during_Operation_URGENT_FURY.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Journalist Petty Officer 1st Class (JO1) Peter D. Sundberg, US Navy",1983-10-28,Marines patrol the town of Saint Georges with the use of tracked personnel landing vehicles (LVTP7) during Operation URGENT FURY.,Category:United States Marine Corps in Grenada,2860x1890
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_013_1920x1080.png,A CH-47 Chinook helicopter externally transports four water bladders to the field during Operation GOLDEN PHEASANT - DPLA - fa84e5fcaa7dc91dcf58fa3e908fb2f2.jpeg,https://commons.wikimedia.org/wiki/File:A_CH-47_Chinook_helicopter_externally_transports_four_water_bladders_to_the_field_during_Operation_GOLDEN_PHEASANT_-_DPLA_-_fa84e5fcaa7dc91dcf58fa3e908fb2f2.jpeg,https://upload.wikimedia.org/wikipedia/commons/8/85/A_CH-47_Chinook_helicopter_externally_transports_four_water_bladders_to_the_field_during_Operation_GOLDEN_PHEASANT_-_DPLA_-_fa84e5fcaa7dc91dcf58fa3e908fb2f2.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"19 March 1988 date QS:P571,+1988-03-19T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: GOLDEN PHEASANT Base: Tamara Country: Honduras (HND) Scene Camera Operator: Nathaniel H. Mcbride Release Status: Released to Public,Category:Operation Golden Pheasant,2820x1870
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_019_1920x1080.png,20250723 Presentacion Cartas Credenciales-César Carrión2.jpg,https://commons.wikimedia.org/wiki/File:20250723_Presentacion_Cartas_Credenciales-C%C3%A9sar_Carri%C3%B3n2.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/20250723_Presentacion_Cartas_Credenciales-C%C3%A9sar_Carri%C3%B3n2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Fotografía oficial de la Presidencia de Colombia - César Carrión,2025-07-23 16:48:42,Soldado de Colombia luciendo uniforme de gala,Category:Army of Colombia,4608x3072
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_020_1920x1080.png,Dignity Battalion on parade.jpg,https://commons.wikimedia.org/wiki/File:Dignity_Battalion_on_parade.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Dignity_Battalion_on_parade.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"PH1 (Sw) J. Elliott, US Navy",1989-11-28,"Members of one of General Manuel Noriega's loosely organized ""Dignity Battalions"" march through the streets of the city during a protest against the US presence in Panama.",Category:1989 in Panama,2830x1880
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_014_1920x1080.png,Honduran troops listen to an instructor from the 82nd Airborne Division during Operation GOLDEN PHEASANT DA-SC-89-11589.jpg,https://commons.wikimedia.org/wiki/File:Honduran_troops_listen_to_an_instructor_from_the_82nd_Airborne_Division_during_Operation_GOLDEN_PHEASANT_DA-SC-89-11589.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Honduran_troops_listen_to_an_instructor_from_the_82nd_Airborne_Division_during_Operation_GOLDEN_PHEASANT_DA-SC-89-11589.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Nathaniel H. Mcbride,1988-03-19,Honduran troops listen to an instructor from the 82nd Airborne Division during Operation GOLDEN PHEASANT.,Category:Operation Golden Pheasant,2820x1870
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_015_1920x1080.png,"Local villagers watch as members of the 1ST Battalion, 504th Parachute Infantry Regiment, 82nd Airborne Division, prepare for transport back to Palmerola Air Base. The troops are pa - DPLA - a11a41170be40cb8de63fd8a9aa4c088.jpeg","https://commons.wikimedia.org/wiki/File:Local_villagers_watch_as_members_of_the_1ST_Battalion,_504th_Parachute_Infantry_Regiment,_82nd_Airborne_Division,_prepare_for_transport_back_to_Palmerola_Air_Base._The_troops_are_pa_-_DPLA_-_a11a41170be40cb8de63fd8a9aa4c088.jpeg",https://upload.wikimedia.org/wikipedia/commons/1/15/Local_villagers_watch_as_members_of_the_1ST_Battalion%2C_504th_Parachute_Infantry_Regiment%2C_82nd_Airborne_Division%2C_prepare_for_transport_back_to_Palmerola_Air_Base._The_troops_are_pa_-_DPLA_-_a11a41170be40cb8de63fd8a9aa4c088.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"1 March 1988 date QS:P571,+1988-03-01T00:00:00Z/11","The original finding aid described this photograph as: Base: Judicalpa Country: Honduras (HND) Scene Camera Operator: TSGT Bob Simons, USAF Release Status: Released to Public",Category:Operation Golden Pheasant,3000x2000
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_016_1920x1080.png,An Air Force Special Activities Center (AFSAC) Human Intelligence Resources (HUMINT) Augmentation Team (HAT) administration kit is loaded aboard a CH-3 helicopter. The kit will be p - DPLA - a581da7ca66d7b415ee4c64de970a374.jpeg,https://commons.wikimedia.org/wiki/File:An_Air_Force_Special_Activities_Center_(AFSAC)_Human_Intelligence_Resources_(HUMINT)_Augmentation_Team_(HAT)_administration_kit_is_loaded_aboard_a_CH-3_helicopter._The_kit_will_be_p_-_DPLA_-_a581da7ca66d7b415ee4c64de970a374.jpeg,https://upload.wikimedia.org/wikipedia/commons/1/11/An_Air_Force_Special_Activities_Center_%28AFSAC%29_Human_Intelligence_Resources_%28HUMINT%29_Augmentation_Team_%28HAT%29_administration_kit_is_loaded_aboard_a_CH-3_helicopter._The_kit_will_be_p_-_DPLA_-_a581da7ca66d7b415ee4c64de970a374.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"28 October 1983 date QS:P571,+1983-10-28T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: URGENT FURY Country: Unknown Scene Camera Operator: Unknown Release Status: Released to Public,Category:Operation Urgent Fury,2760x1880
AR,Data-Vengeance/Loadscreens/RealConflict/AR/AR_003_1920x1080.png,"A column of M113 armored personnel carriers from 4th Battalion, 6th Infantry, 5th Infantry Division (Mech.), passes Howard Air Force Base while en route to Panama City from Naval St - DPLA - 6d73fb5a9cc98514f1bec107950424d4.jpeg","https://commons.wikimedia.org/wiki/File:A_column_of_M113_armored_personnel_carriers_from_4th_Battalion,_6th_Infantry,_5th_Infantry_Division_(Mech.),_passes_Howard_Air_Force_Base_while_en_route_to_Panama_City_from_Naval_St_-_DPLA_-_6d73fb5a9cc98514f1bec107950424d4.jpeg",https://upload.wikimedia.org/wikipedia/commons/c/cc/A_column_of_M113_armored_personnel_carriers_from_4th_Battalion%2C_6th_Infantry%2C_5th_Infantry_Division_%28Mech.%29%2C_passes_Howard_Air_Force_Base_while_en_route_to_Panama_City_from_Naval_St_-_DPLA_-_6d73fb5a9cc98514f1bec107950424d4.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"20 November 1989 date QS:P571,+1989-11-20T00:00:00Z/11",The original finding aid described this photograph as: Country: Panama (PAN) Scene Camera Operator: PH1(Sw) J. Elliott Release Status: Released to Public,Category:1989 in Panama,2870x1970
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_017_1920x1080.png,Members of the 82nd Airborne Division are deployed in the field by a CH-47 Chinook helicopter during a mobilization of U.S. exercise task force Dragon-Golden Pheasant. The task forc - DPLA - 87b5135c9de6977804cf0ee28404107e.jpeg,https://commons.wikimedia.org/wiki/File:Members_of_the_82nd_Airborne_Division_are_deployed_in_the_field_by_a_CH-47_Chinook_helicopter_during_a_mobilization_of_U.S._exercise_task_force_Dragon-Golden_Pheasant._The_task_forc_-_DPLA_-_87b5135c9de6977804cf0ee28404107e.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Members_of_the_82nd_Airborne_Division_are_deployed_in_the_field_by_a_CH-47_Chinook_helicopter_during_a_mobilization_of_U.S._exercise_task_force_Dragon-Golden_Pheasant._The_task_forc_-_DPLA_-_87b5135c9de6977804cf0ee28404107e.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"1 March 1988 date QS:P571,+1988-03-01T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: DRAGON/GOLDEN PHEASANT Base: Palmerola Air Base Country: Honduras (HND) Scene Camera Operator: STAFF SGT. Scott Stewart Release Status: Released to Public,Category:Operation Golden Pheasant,2810x1880
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_021_1920x1080.png,Explosion1 during Grenada invasion 1983.JPEG,https://commons.wikimedia.org/wiki/File:Explosion1_during_Grenada_invasion_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/4/4d/Explosion1_during_Grenada_invasion_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Spec. Long,1983-10-25,"An explosion during ""Operation Urgent Fury"", Grenada, 25 October 1983.",Category:Operation Urgent Fury,2840x1900
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_018_1920x1080.png,82d Airborne jeep Urgent Fury 1983.JPEG,https://commons.wikimedia.org/wiki/File:82d_Airborne_jeep_Urgent_Fury_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/c/c9/82d_Airborne_jeep_Urgent_Fury_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Unknown author Unknown author,1983-10-01,"U.S. Army soldiers of the 82nd Airborne Division in a heavily loaded M151 light vehicle prepare to depart for Grenada from Pope Air Force Base, North Carolina (USA), in preparation of ""Operation Urgent Fury"", 1 October 1983.",Category:82nd Airborne Division in Operation Urgent Fury,2800x1820
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_022_1920x1080.png,Mk 153 SMAW Panama.jpg,https://commons.wikimedia.org/wiki/File:Mk_153_SMAW_Panama.jpg,https://upload.wikimedia.org/wikipedia/commons/d/df/Mk_153_SMAW_Panama.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,STAFF SGT. Laird,1989-01-01,"A Marine of 4th Platoon, Fleet Anti-terrorist Security Team (FAST) Company, prepares to fire a shoulder-launched multipurpose assault weapon (SMAW) in Panama.",Category:1989 in Panama,2820x1920
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_023_1920x1080.png,A US Navy lieutenant talks with members of the media during Operation URGENT FURY - DPLA - b87f4a74ae7327a6707ebb4f05b2874e.jpeg,https://commons.wikimedia.org/wiki/File:A_US_Navy_lieutenant_talks_with_members_of_the_media_during_Operation_URGENT_FURY_-_DPLA_-_b87f4a74ae7327a6707ebb4f05b2874e.jpeg,https://upload.wikimedia.org/wikipedia/commons/1/1f/A_US_Navy_lieutenant_talks_with_members_of_the_media_during_Operation_URGENT_FURY_-_DPLA_-_b87f4a74ae7327a6707ebb4f05b2874e.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"9 November 1983 date QS:P571,+1983-11-09T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: URGENT FURY Country: Grenada (GRD) Scene Camera Operator: JOC Gary Miller Release Status: Released to Public,Category:Operation Urgent Fury,2850x1910
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_024_1920x1080.png,UH-1N and CH-53D at Grenada 1983.JPEG,https://commons.wikimedia.org/wiki/File:UH-1N_and_CH-53D_at_Grenada_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/2/2a/UH-1N_and_CH-53D_at_Grenada_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,SPC Douglas Ide,1983-10-25,"A U.S. Marine Corps Bell UH-1N Huey helicopter from Marine medium helicopter transport squadron HMM-261 Raging Bulls during ""Operation Urgent Fury"" on 25 October 1983. The helicopter is equipped with door-mounted M60D machine guns. In the background is a Sikorsky CH-53D Stallion helicopter.",Category:Operation Urgent Fury,2810x1850
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_025_1920x1080.png,Operation CHISUM 03.jpg,https://commons.wikimedia.org/wiki/File:Operation_CHISUM_03.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Operation_CHISUM_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,PH1 (Sw) J. Elliott,1989-10-31,"Three Marines from from Company D, 2nd Light Armored Infantry Battalion, survey the situation from the back of an LAV25 light armored vehicles during Operation CHISUM, a route reconnaissance patrol. Supporters of General Manuel Noriega had blocked the road with vehicles and refused to allow the patrol from entering the town.",Category:1989 in Panama,2830x1870
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_026_1920x1080.png,Planes Trailing the National Colors Roar Overhead (29956997005).jpg,https://commons.wikimedia.org/wiki/File:Planes_Trailing_the_National_Colors_Roar_Overhead_(29956997005).jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Planes_Trailing_the_National_Colors_Roar_Overhead_%2829956997005%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,U.S. Department of State from United States,2016-09-26 17:33,"Planes trailing the national colors of Colombia roar overhead after Colombian President Juan Manuel Santos and FARC leader Timoleón Jiménez signed a peace accord as U.S. Secretary of State John Kerry sat in a plaza outside the Cartagena Indias Convention Center in Cartagena, Colombia, on September 26, 2016, while attending a peace ceremony between the government and the Revolutionary Armed Forces of Colombia (FARC) that ended a five-decade conflict. [State Department Photo/Public Domain]",Category:Colombian armed conflict,4914x3270
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_019_1920x1080.png,"STAFF Sergeant (SSG) Alejandro Velazquez from the 2nd Battalion, 504th Parachute Infantry Regiment, 82nd Airborne Division, discusses battle drills of platoon and squad movements wi - DPLA - d02d3d4f0c05d11baa393ee2270c9993.jpeg","https://commons.wikimedia.org/wiki/File:STAFF_Sergeant_(SSG)_Alejandro_Velazquez_from_the_2nd_Battalion,_504th_Parachute_Infantry_Regiment,_82nd_Airborne_Division,_discusses_battle_drills_of_platoon_and_squad_movements_wi_-_DPLA_-_d02d3d4f0c05d11baa393ee2270c9993.jpeg",https://upload.wikimedia.org/wikipedia/commons/1/17/STAFF_Sergeant_%28SSG%29_Alejandro_Velazquez_from_the_2nd_Battalion%2C_504th_Parachute_Infantry_Regiment%2C_82nd_Airborne_Division%2C_discusses_battle_drills_of_platoon_and_squad_movements_wi_-_DPLA_-_d02d3d4f0c05d11baa393ee2270c9993.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"1 March 1988 date QS:P571,+1988-03-01T00:00:00Z/11","The original finding aid described this photograph as: Base: Judicalpa Country: Honduras (HND) Scene Camera Operator: TSGT Bob Simons, USAF Release Status: Released to Public",Category:Operation Golden Pheasant,3000x1986
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_020_1920x1080.png,Members of the 82nd Airborne Division wait to board an aircraft at Point Salines Airport during Operation URGENT FURY.jpg,https://commons.wikimedia.org/wiki/File:Members_of_the_82nd_Airborne_Division_wait_to_board_an_aircraft_at_Point_Salines_Airport_during_Operation_URGENT_FURY.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Members_of_the_82nd_Airborne_Division_wait_to_board_an_aircraft_at_Point_Salines_Airport_during_Operation_URGENT_FURY.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"TSGT M. J. Creen, US Air Force",1983-11-04,Members of the 82nd Airborne Division wait to board an aircraft at Point Salines Airport during Operation URGENT FURY.,Category:82nd Airborne Division in Operation Urgent Fury,3030x1979
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_027_1920x1080.png,A Marine armed with an M16A1 rifle escorts a captured member of the Peoples Revolutionary Army during Operation URGENT FURY.jpg,https://commons.wikimedia.org/wiki/File:A_Marine_armed_with_an_M16A1_rifle_escorts_a_captured_member_of_the_Peoples_Revolutionary_Army_during_Operation_URGENT_FURY.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/A_Marine_armed_with_an_M16A1_rifle_escorts_a_captured_member_of_the_Peoples_Revolutionary_Army_during_Operation_URGENT_FURY.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Journalist Petty Officer 1st Class (JO1) Sundberg, US Navy",1983-10-28,A Marine armed with an M16A1 rifle escorts a captured member of the Peoples Revolutionary Army during Operation URGENT FURY.,Category:United States Marine Corps in Grenada,2840x1910
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_028_1920x1080.png,"Entierro de ""Abel"" Guadalupe Moreno.jpg",https://commons.wikimedia.org/wiki/File:Entierro_de_%22Abel%22_Guadalupe_Moreno.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Entierro_de_%22Abel%22_Guadalupe_Moreno.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Dora María Téllez,Taken in June 1979,"Leopoldo Rivas, Dora María, Ana Isabel Morales. Junio 1979. Insurrección de León 1979 Imágenes de las acciones militares durante la insurrección de León y de la destrucción causada por los bombardeos de la Fuerza Aérea Nicaragüense (FAN) de la GN. durante los meses de junio y julio de 1979",Category:Nicaraguan Revolution,3936x3144
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_021_1920x1080.png,Members of the 82nd Airborne Division keep watch as they pause in a dry creek bed during Operation GOLDEN PHEASANT. Behind them is an M998 high mobility multi-purpose wheeled vehicl - DPLA - c4e48cbd0b726a1e83bdb96dfa9c45d4.jpeg,https://commons.wikimedia.org/wiki/File:Members_of_the_82nd_Airborne_Division_keep_watch_as_they_pause_in_a_dry_creek_bed_during_Operation_GOLDEN_PHEASANT._Behind_them_is_an_M998_high_mobility_multi-purpose_wheeled_vehicl_-_DPLA_-_c4e48cbd0b726a1e83bdb96dfa9c45d4.jpeg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Members_of_the_82nd_Airborne_Division_keep_watch_as_they_pause_in_a_dry_creek_bed_during_Operation_GOLDEN_PHEASANT._Behind_them_is_an_M998_high_mobility_multi-purpose_wheeled_vehicl_-_DPLA_-_c4e48cbd0b726a1e83bdb96dfa9c45d4.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"19 March 1988 date QS:P571,+1988-03-19T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: GOLDEN PHEASANT Base: Tamara Country: Honduras (HND) Scene Camera Operator: Nathaniel H. Mcbride Release Status: Released to Public,Category:Operation Golden Pheasant,3000x1989
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_029_1920x1080.png,Gen Mario Montoya.JPG,https://commons.wikimedia.org/wiki/File:Gen_Mario_Montoya.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Gen_Mario_Montoya.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Jose Saez,2008-07-22,"Colombian army Gen. Mario Montoya Uribe, the commander of the Colombian National Army, gives a speech during the opening ceremony of the Senior Enlisted Leaders Conference (SELC) in Bogota, Colombia, July 22, 2008. The SELC helps to build and maintain personal relationships that foster cooperation between the United States and the 32 countries of Latin America and the Caribbean. (U.S. Army photo by Jose Saez/Released)",Category:Army of Colombia,3000x1993
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_030_1920x1080.png,Operation CHISUM 02.jpg,https://commons.wikimedia.org/wiki/File:Operation_CHISUM_02.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Operation_CHISUM_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,PH1 (Sw) J. Elliott,1989-10-31,"A flag-waving protester stands in the middle of a halted column of Marine Corps light armored vehicles on the edge of town during Operation CHISUM, a route reconnaissance patrol. Supporters of General Manuel Noriega had blocked the road with vehicles and refused to allow the patrol from Company D, 2nd Light Armored Infantry Battalion, to proceed through the town.",Category:1989 in Panama,2830x1870
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_031_1920x1080.png,Soviet-built bulldozers.JPEG,https://commons.wikimedia.org/wiki/File:Soviet-built_bulldozers.JPEG,https://upload.wikimedia.org/wikipedia/commons/8/83/Soviet-built_bulldozers.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Spec. 4 Long,1983-10-15,"Soviet-built tracked prime movers that were seized during Operation Urgent Fury. They were being used in the construction of the airport at Pt. Salines: T-100 (left), T-108 (right).",Category:Operation Urgent Fury,2860x1900
